epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,5.438522951116465,0.405,2.090769627094269,3.3610649639614483,0.53
2,4.045566190194688,0.535,2.0836931705474853,3.28947827808398,0.52
3,4.129428696998161,0.61,2.09636878490448,6.535603236711849,0.67
4,3.667165908439333,0.575,2.070908915996552,4.69982774995596,0.59
5,4.206685519164705,0.625,2.084516260623932,4.595550061353209,0.63
6,3.551870000747595,0.67,2.086033532619476,3.0719992113591705,0.72
7,3.5041362827843416,0.73,2.092632923126221,2.385970537448997,0.85
8,3.634596072877695,0.68,2.0898019337654112,1.9498327522537104,0.79
9,4.101655505256943,0.66,2.0784040307998657,4.254618450180915,0.71
10,4.225488035395133,0.685,2.081118173599243,7.334512984854646,0.49
11,4.714906876076851,0.64,2.079871575832367,5.91523616056209,0.55
12,4.602672714051458,0.685,2.069872460365296,2.948060200595485,0.79
13,4.32867025767944,0.695,2.0888096046447755,10.676628032457916,0.49
14,4.043978744568135,0.705,2.086584844589233,4.089676032746211,0.65
15,3.354006576314593,0.76,2.091041750907898,3.5019235323199065,0.73
16,3.155036754528561,0.725,2.1061357116699218,2.532671723468855,0.82
17,3.519938110644217,0.75,2.0900633788108824,5.867682584070272,0.67
18,4.678370525663241,0.765,2.0911059975624084,3.784645768403215,0.75
19,5.080542806336874,0.69,2.0877240538597106,4.0505779115103655,0.75
20,3.3626048954933623,0.785,2.0867308807373046,3.0755361997929525,0.81
21,3.6034811935758255,0.77,2.108396167755127,2.999249753793001,0.8
22,3.203134933888262,0.79,2.093555059432984,3.1161709211509474,0.78
23,3.154824822845245,0.8,2.102678606510162,2.468363823306667,0.82
24,3.7673148775682255,0.78,2.092325842380524,5.225020887184583,0.74
25,3.754622394042401,0.755,2.104063150882721,4.883382324276199,0.72
26,3.984632725443673,0.77,2.0940061664581298,4.9038192562651215,0.77
27,4.504710836747718,0.725,2.099360256195068,4.060965458316341,0.82
28,5.649946654356097,0.725,2.088603727817536,6.806837342741383,0.7
29,6.176255925563297,0.705,2.090461719036102,6.595165515455777,0.69
30,4.7097947311704935,0.74,2.1073914909362794,2.313619411099645,0.87
31,3.6213337856168697,0.79,2.0885755109786985,1.8763493485450715,0.87
32,4.418351479695996,0.76,2.108859405517578,1.9116043413721395,0.86
33,3.7482463335279688,0.745,2.102732217311859,4.61636487896096,0.74
34,3.8918759322243694,0.775,2.0956794476509093,2.557411586745465,0.82
35,4.181473955036839,0.765,2.1061818385124207,2.382638568847278,0.85
36,4.105159348371765,0.725,2.0799729228019714,4.05064390068113,0.82
37,2.711722294275915,0.845,2.082020637989044,4.908645281542248,0.77
38,3.221522530001636,0.81,2.094869079589844,2.780444399734737,0.82
39,6.426088389429692,0.695,2.088865513801575,3.855136671863571,0.74
40,3.596749335231585,0.76,2.069279594421386,6.275600053719789,0.72
41,5.782699132505476,0.745,2.0869715929031374,4.884434974056773,0.74
42,4.585262604767137,0.765,2.100859746932984,3.7231555480856513,0.78
43,3.228487107359493,0.81,2.0817128086090086,2.9538065833911444,0.8
44,4.571587998769397,0.78,2.111516435146332,5.630598324346003,0.73
45,3.4499395302674776,0.79,2.089691488742828,5.162929627303871,0.72
46,2.951823522748571,0.78,2.0823286986351013,4.497776737231906,0.84
47,4.432798346093801,0.78,2.098506422042847,4.118401492335631,0.81
48,4.4024779600038535,0.745,2.0994078302383423,3.968162156064029,0.78
49,2.8381940423614327,0.825,2.1228770065307616,5.237788075665788,0.78
50,5.266308878477353,0.73,2.1053785848617554,5.496066033347095,0.78
