epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,1.9272239364369304,0.53,2.007339291572571,1.2536351366667078,0.67
2,1.086061310467194,0.675,1.98033085346222,1.1221968134469351,0.67
3,0.8472163771791383,0.75,2.017388842105865,1.2201343625131995,0.7
4,1.0467805496230722,0.76,1.957637910842896,1.3246045189304276,0.68
5,1.1049892331444426,0.725,2.176420240402221,0.8969154084916227,0.77
6,0.8433789097387308,0.79,1.920372743606568,0.9700582737753576,0.75
7,0.7991609878588518,0.79,1.920311403274536,0.6919269485588302,0.83
8,0.7835064281885457,0.815,1.913351333141327,1.074030808411444,0.76
9,1.2958265015395136,0.75,1.916751518249512,1.0068418236598882,0.77
10,0.9530118007135404,0.8,1.9146347117424007,1.3808909151989952,0.73
11,1.107506881847591,0.79,1.931650378704071,0.9859108808657038,0.76
12,1.230994812367254,0.745,1.916335978507996,1.1453960915965764,0.72
13,0.7784971530037967,0.82,1.9156701707839965,1.1181264692231707,0.77
14,0.759114071435854,0.85,1.9150316739082336,0.715520811410006,0.84
15,0.7226898236479681,0.835,1.9130330419540404,0.5625601234895862,0.84
16,0.8737662013624626,0.815,1.917801809310913,0.6877112976636818,0.84
17,0.9551802070084316,0.83,1.9097940254211423,1.200649120813564,0.79
18,0.8743686020566506,0.83,1.9246682167053224,0.8588983565530555,0.83
19,0.8554284952009372,0.795,1.950735981464386,0.9778886872396072,0.83
20,0.7088634751008271,0.85,1.969958951473236,1.174699200348157,0.76
21,0.7977723504186701,0.86,1.9195734333992005,0.5884255190941383,0.86
22,0.5202584127540557,0.87,1.9165224266052243,0.6909700017429634,0.88
23,0.7289751186298338,0.85,1.9247425198554995,0.728904830911116,0.92
24,0.8468012174128424,0.86,1.9705197167396544,1.4743019706974136,0.81
25,0.8405695173179453,0.835,1.926172902584076,1.181328021490221,0.82
26,0.875033827245534,0.83,1.9226215505599973,0.9822550027284992,0.83
27,1.036791843865687,0.825,1.922438673973084,1.1455125755272897,0.82
28,1.0558289658366435,0.82,1.9182046604156493,1.1029193099716028,0.79
29,0.9055783157511332,0.845,1.916930832862854,0.62113345308513,0.87
30,0.8829325630016993,0.85,1.916976945400238,1.2353326812231429,0.78
31,0.8265097770867494,0.885,1.9169476413726807,0.6848926174350453,0.87
32,0.7523516752542594,0.88,1.918263380527496,0.4187267062036874,0.91
33,0.8020890808790935,0.88,1.925486831665039,0.9680167259297378,0.85
34,0.6181218594916754,0.875,1.9202435779571527,0.7573092385092233,0.86
35,0.8820649070515865,0.845,1.9164616107940675,0.72563742415509,0.85
36,1.0042733925420837,0.85,1.917267849445343,0.8215356796939963,0.84
37,0.5600812802671753,0.895,1.9248845553398133,0.7994489306565373,0.87
38,0.5793134591439218,0.915,1.9162904667854308,0.516882448957262,0.91
39,1.1932131084721065,0.825,1.9178810548782348,0.7101329443040754,0.85
40,0.7255753866956475,0.885,1.9203340530395507,1.3354696913576436,0.76
41,0.7636709422305458,0.85,1.916390509605408,0.7886180491390659,0.83
42,0.8352901671913111,0.86,1.9207856607437133,0.707769122584456,0.88
43,0.4222371911435837,0.895,1.916371366977692,0.8041125727932348,0.89
44,0.8254085899353882,0.85,1.922303900718689,1.086525195221112,0.84
45,0.9076215809318094,0.86,1.918624927997589,1.491431992856988,0.84
46,0.5826172487795982,0.865,1.9139269614219665,1.415144596061146,0.81
47,0.9058872532717668,0.875,1.920019195079804,0.8510192737661311,0.87
48,0.6831922769691775,0.915,1.9220084190368647,1.0897420267026503,0.86
49,0.7531071721434279,0.88,1.920403153896332,1.1298974581441148,0.85
50,0.6532639769760111,0.915,1.9231105422973633,1.2958684893116144,0.85
