epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,5.210270906068618,0.4,2.9617520904541017,5.101343714185204,0.38
2,3.4318039271485032,0.535,2.961912353038788,4.794765743548049,0.48
3,3.359491776554928,0.625,2.976738543510437,4.549454067790648,0.56
4,4.739036995449274,0.495,2.906433455944061,4.009199268593429,0.63
5,3.078241964526531,0.63,2.907997567653656,2.433884679308392,0.72
6,2.460088245366602,0.695,2.920706405639649,3.316336463619004,0.69
7,2.3654410801892864,0.715,2.930820498466492,1.810862316188822,0.8
8,2.985730687879209,0.63,2.901728765964508,2.2366018141982567,0.72
9,3.173825735748163,0.685,2.9068364834785463,2.285015190310512,0.77
10,2.3765892285589127,0.715,2.8957416367530824,3.8858107123355534,0.62
11,2.7395755058100435,0.72,2.9082938599586488,3.4879892995042154,0.58
12,3.7940620947521086,0.66,2.888798615932465,2.057018996252486,0.73
13,3.355453551674965,0.69,2.911088485717773,2.6545964245709888,0.75
14,2.2013168493334705,0.72,2.908689949512482,3.4945099741895285,0.69
15,2.595135663926734,0.76,2.917706561088562,2.7554496950037257,0.75
16,2.700623815479629,0.76,3.009701790809632,2.37891094641998,0.72
17,2.7195870872172803,0.74,2.986296827793121,6.040176029353592,0.62
18,3.9074587352724666,0.7,2.9977652406692505,8.672896986195736,0.6
19,4.665166646993459,0.71,2.987591500282288,4.4258031032051015,0.7
20,2.2583742432954343,0.805,2.9802456140518188,4.255605657441321,0.76
21,2.4049135751796755,0.785,2.9880799221992493,1.839870706794712,0.81
22,3.1128452846664523,0.715,2.9931418108940124,2.3067037619358515,0.85
23,1.959094278714269,0.82,2.9893149232864378,1.382141335702043,0.87
24,2.542945801309509,0.785,2.986670882701874,3.2776898452738306,0.75
25,3.0466743709156003,0.745,2.9890340781211853,4.851591281218312,0.59
26,2.62104869591924,0.715,2.987936112880707,3.0100775057061213,0.78
27,2.6458642025716324,0.79,2.928587338924408,3.7883647806545726,0.76
28,4.818679765852419,0.695,2.9242836570739748,5.365771911386622,0.67
29,3.66098542450737,0.735,2.944473328590393,3.1774063290134835,0.78
30,4.253444594673803,0.66,2.938001246452332,1.8841416537129296,0.86
31,2.674870110914628,0.79,2.9070957946777343,2.0652162141811696,0.75
32,2.876409759740221,0.755,2.96019140958786,2.909362518206749,0.77
33,3.252337727766731,0.745,2.9293811297416688,2.27070373819396,0.8
34,2.406179416191814,0.795,2.934503343105316,2.443611160193797,0.83
35,3.696892117765511,0.785,2.92845223903656,1.46346794040126,0.87
36,2.5092182901545343,0.825,2.903164296150208,2.496376497267818,0.81
37,2.417911828537918,0.8,2.91775404214859,2.706172896916176,0.78
38,2.340010100514385,0.86,2.924340806007385,2.357420623293124,0.78
39,4.557510453436035,0.745,2.909752581119537,3.688927112965887,0.77
40,2.429146184500074,0.805,2.889198727607727,4.844718784377841,0.72
41,4.080306406119308,0.725,2.9166959619522093,3.1164962321604706,0.79
42,3.674124814912837,0.72,2.9237982535362246,4.5393936109078,0.69
43,2.840872562637925,0.805,2.9349466013908385,2.571994409950117,0.81
44,3.993222762136788,0.735,2.931892330646515,5.540462957376596,0.68
45,3.808880268679281,0.745,2.919841840267181,3.391808080444199,0.76
46,2.228056356767052,0.805,2.9503162789344786,2.1463067744017774,0.82
47,3.147787490349708,0.815,2.936001110076904,3.957165035643289,0.79
48,3.4439736406858925,0.78,2.960479474067688,2.715301108325452,0.82
49,2.445098005326876,0.8,2.9332161021232603,3.814771421584197,0.8
50,3.6947067739743575,0.8,2.9169750928878786,3.9673915730437024,0.77
